original_title,genre_ids,popularity,vote_average,vote_count,year
Inception: The Cobol Job,"[16, 28, 53, 878]",6.516,7.4,227,2010
Beautiful Kate,"[9648, 18]",6.481,6.1,29,2010
Super Hybrid,[27],6.474,5.1,35,2010
Gasland,[99],6.468,7.5,80,2010
Mega Piranha,"[28, 12, 27, 878]",6.457,2.9,78,2010
Chain Letter,"[27, 53]",6.44,4.1,63,2010
Dog Pound,[18],6.428,7.6,177,2010
The Joneses,"[35, 18]",6.424,6.2,312,2010
Red Riding: In the Year of Our Lord 1983,"[53, 80, 18, 9648]",6.423,7.0,70,2010
Lake Placid 3,"[27, 28, 878, 53]",6.411,4.4,68,2010
I'm Still Here,"[10402, 35, 18]",6.386,6.0,179,2010
The Boy Who Cried Werewolf,"[10751, 14, 27, 10770]",6.372,6.0,123,2010
Hubble 3D,[99],6.346,7.1,54,2010
Jesse Stone: No Remorse,"[18, 53, 80, 9648]",6.324,6.8,34,2010
"Ultramarines: A Warhammer 40,000 Movie","[16, 878]",6.322,5.2,50,2010
Groupies bleiben nicht zum Frühstück,"[10749, 35]",6.32,6.9,104,2010
レイトン教授と永遠の歌姫,"[10751, 16]",6.308,7.7,78,2010
Altitude,"[27, 28, 53, 878]",6.305,4.9,119,2010
Extraordinary Measures,[18],6.3,6.3,153,2010
The Tempest,"[18, 14]",6.3,5.8,52,2010
Tokyo Mater,"[16, 35]",6.29,6.0,41,2008
Les Femmes du 6e étage,[35],6.281,6.7,183,2010
Red Hill,"[28, 53, 37]",6.269,6.1,79,2010
White Material,[18],6.262,7.1,57,2010
Den Brother,"[10770, 10751]",6.234,6.0,56,2010
Max Manus,"[18, 36, 10752]",6.23,7.1,114,2010
Cemetery Junction,"[18, 35]",6.225,6.6,116,2010
You Will Meet a Tall Dark Stranger,"[35, 18, 10749]",6.209,5.8,431,2010
Milf,[35],6.198,4.1,41,2010
Coursier,"[35, 28, 80]",6.195,4.9,74,2010
Love Ranch,[18],6.185,6.1,28,2010
Sintel,"[16, 14]",6.157,7.6,99,2010
Terkel i knibe,"[16, 35]",6.135,6.4,39,2010
De vrais mensonges,"[35, 10749]",6.092,5.8,70,2010
The Perfect Host,"[35, 53, 80]",6.088,6.3,217,2010
"Waiting for ""Superman""",[99],6.068,7.0,70,2010
Kites,"[18, 28, 10749]",6.058,5.8,67,2010
Kaboom,"[18, 878, 35, 9648]",6.052,5.7,175,2010
Boy Wonder,"[28, 80, 18, 53]",6.036,6.6,77,2010
Leaves of Grass,"[35, 80, 53]",5.996,6.0,214,2010
Five Minarets in New York,[18],5.994,5.7,49,2010
L'Âge de raison,"[35, 10749]",5.982,5.3,64,2010
Birdemic: Shock and Terror,"[27, 878]",5.961,2.0,152,2010
Please Give,"[35, 18]",5.945,6.3,81,2010
Skateland,[18],5.938,5.4,16,2011
Cropsey,"[9648, 99, 27, 80]",5.925,6.0,90,2009
Guzaarish,"[18, 10749]",5.919,7.6,52,2010
Giallo,"[80, 27, 9648, 53]",5.854,4.0,64,2010
A Dangerous Man,"[80, 28, 12, 53]",5.853,5.1,53,2010
Gurotesuku,"[27, 53]",5.828,5.3,69,2010
FRED: The Movie,"[35, 10751, 10770]",5.807,5.0,81,2010
Repeaters,"[878, 53, 18, 9648]",5.801,5.7,75,2010
Scooby-Doo! Abracadabra-Doo,"[16, 35, 10751, 9648, 14]",5.787,6.8,58,2010
Scrat's Continental Crack-Up,[16],5.784,6.9,67,2010
The Keeper,"[28, 53]",5.779,5.3,42,2010
High School,[35],5.762,5.8,68,2010
Amer,"[53, 27]",5.749,6.6,59,2010
"My Son, My Son, What Have Ye Done","[80, 18, 53]",5.74,6.1,85,2010
狼牙,[28],5.716,6.2,33,2010
Freakonomics,[99],5.705,6.6,57,2010
Rare Exports,[14],5.704,6.5,233,2010
Hunt to Kill,"[28, 12, 53]",5.673,5.1,60,2010
DC Showcase: Jonah Hex,"[16, 28, 37]",5.646,6.8,38,2010
The Clinic,"[9648, 27, 53, 80]",5.62,5.2,59,2010
When You're Strange,"[99, 10402]",5.582,7.6,85,2010
Les 7 jours du talion,"[18, 27, 53]",5.575,6.3,76,2010
The Cry of the Owl,[18],5.572,5.6,46,2010
Balada triste de trompeta,"[28, 18, 53]",5.552,6.7,177,2011
Red Riding: In the Year of Our Lord 1980,"[53, 80, 18, 9648]",5.499,7.1,73,2010
Bébés,[99],5.45,7.0,77,2010
Home Makeover,"[16, 35, 10751]",5.45,6.9,89,2010
Friendship!,[35],5.442,6.6,76,2010
Nude Nuns with Big Guns,"[53, 28, 35]",5.429,4.2,55,2010
Sherlock Holmes,"[14, 18, 27, 28, 53, 9648]",5.39,5.6,53,2010
Happy People: A Year in the Taiga,[99],5.38,7.7,65,2010
उड़ान,[18],5.376,7.2,83,2010
Wild Things: Foursome,"[80, 18, 9648]",5.371,5.0,36,2010
2001 Maniacs: Field of Screams,"[35, 27]",5.364,4.0,31,2010
El Materdor,[16],5.352,5.7,24,2010
An Invisible Sign,"[10751, 18, 10749, 35]",5.342,5.1,58,2010
時をかける少女,[12],5.319,6.3,26,2010
A Horrible Way to Die,"[27, 53, 18]",5.316,5.2,36,2010
Christmas Cupid,"[10770, 14, 35, 10749, 10751]",5.281,5.8,107,2010
